Date,Price,inflation_adjusted_price,price_rank
1994-03-21,1.106,2.517,1431.5
1994-03-28,1.107,2.519,1429.0
1994-04-04,1.109,2.52,1426.5
1994-04-11,1.108,2.518,1430.0
1994-04-18,1.105,2.511,1438.5
1994-04-25,1.106,2.513,1435.5
1994-05-02,1.104,2.507,1445.5
1994-05-09,1.101,2.5,1454.0
1994-05-16,1.099,2.496,1457.5
1994-05-23,1.099,2.496,1457.5
1994-05-30,1.098,2.494,1459.0
1994-06-06,1.101,2.492,1462.0
1994-06-13,1.098,2.485,1470.5
1994-06-20,1.103,2.497,1456.0
1994-06-27,1.108,2.508,1443.0
1994-07-04,1.109,2.503,1450.0
1994-07-11,1.11,2.506,1447.0
1994-07-18,1.111,2.508,1443.0
1994-07-25,1.111,2.508,1443.0
1994-08-01,1.116,2.509,1441.0
1994-08-08,1.127,2.534,1410.5
1994-08-15,1.127,2.534,1410.5
1994-08-22,1.124,2.527,1416.0
1994-08-29,1.122,2.522,1421.0
1994-09-05,1.126,2.525,1418.5
1994-09-12,1.128,2.529,1413.5
1994-09-19,1.126,2.525,1418.5
1994-09-26,1.12,2.511,1438.5
1994-10-03,1.118,2.505,1448.0
1994-10-10,1.117,2.503,1450.0
1994-10-17,1.119,2.507,1445.5
1994-10-24,1.122,2.514,1433.0
1994-10-31,1.133,2.539,1406.0
1994-11-07,1.133,2.535,1409.0
1994-11-14,1.135,2.54,1404.5
1994-11-21,1.13,2.529,1413.5
1994-11-28,1.126,2.52,1426.5
1994-12-05,1.123,2.513,1435.5
1994-12-12,1.114,2.493,1460.0
1994-12-19,1.109,2.482,1472.5
1994-12-26,1.106,2.475,1478.0
1995-01-02,1.104,2.461,1492.0
1995-01-09,1.102,2.456,1498.0
1995-01-16,1.1,2.452,1504.5
1995-01-23,1.095,2.44,1518.5
1995-01-30,1.09,2.429,1540.0
1995-02-06,1.086,2.411,1568.5
1995-02-13,1.088,2.415,1560.0
1995-02-20,1.088,2.415,1560.0
1995-02-27,1.089,2.417,1557.0
1995-03-06,1.089,2.409,1570.5
1995-03-13,1.088,2.407,1574.0
1995-03-20,1.085,2.401,1579.5
1995-03-27,1.088,2.407,1574.0
1995-04-03,1.094,2.413,1564.0
1995-04-10,1.101,2.428,1543.0
1995-04-17,1.106,2.439,1520.5
1995-04-24,1.115,2.459,1493.5
1995-05-01,1.119,2.463,1491.0
1995-05-08,1.126,2.478,1476.5
1995-05-15,1.126,2.478,1476.5
1995-05-22,1.124,2.474,1479.5
1995-05-29,1.13,2.487,1467.5
1995-06-05,1.124,2.469,1483.0
1995-06-12,1.122,2.465,1488.0
1995-06-19,1.117,2.454,1501.0
1995-06-26,1.112,2.443,1516.0
1995-07-03,1.106,2.429,1540.0
1995-07-10,1.103,2.423,1548.0
1995-07-17,1.099,2.414,1562.0
1995-07-24,1.098,2.412,1566.5
1995-07-31,1.093,2.401,1579.5
1995-08-07,1.099,2.408,1572.0
1995-08-14,1.106,2.423,1548.0
1995-08-21,1.106,2.423,1548.0
1995-08-28,1.109,2.43,1538.0
1995-09-04,1.115,2.438,1525.0
1995-09-11,1.119,2.447,1510.0
1995-09-18,1.122,2.453,1502.5
1995-09-25,1.121,2.451,1507.0
1995-10-02,1.117,2.434,1533.0
1995-10-09,1.117,2.434,1533.0
1995-10-16,1.117,2.434,1533.0
1995-10-23,1.114,2.428,1543.0
1995-10-30,1.11,2.419,1553.5
1995-11-06,1.118,2.438,1525.0
1995-11-13,1.118,2.438,1525.0
1995-11-20,1.119,2.44,1518.5
1995-11-27,1.124,2.451,1507.0
1995-12-04,1.123,2.451,1507.0
1995-12-11,1.124,2.453,1502.5
1995-12-18,1.13,2.466,1486.0
1995-12-25,1.141,2.49,1465.0
1996-01-01,1.148,2.491,1464.0
1996-01-08,1.146,2.486,1469.0
1996-01-15,1.152,2.499,1455.0
1996-01-22,1.144,2.482,1472.5
1996-01-29,1.136,2.465,1488.0
1996-02-05,1.13,2.444,1515.0
1996-02-12,1.134,2.452,1504.5
1996-02-19,1.151,2.489,1466.0
1996-02-26,1.164,2.517,1431.5
1996-03-04,1.175,2.528,1415.0
1996-03-11,1.173,2.524,1420.0
1996-03-18,1.172,2.521,1423.0
1996-03-25,1.21,2.603,1367.0
1996-04-01,1.222,2.619,1356.5
1996-04-08,1.249,2.677,1332.0
1996-04-15,1.305,2.797,1248.5
1996-04-22,1.304,2.795,1253.5
1996-04-29,1.285,2.754,1278.0
1996-05-06,1.292,2.764,1272.5
1996-05-13,1.285,2.749,1280.0
1996-05-20,1.274,2.725,1298.5
1996-05-27,1.254,2.682,1329.5
1996-06-03,1.24,2.651,1341.0
1996-06-10,1.215,2.597,1372.0
1996-06-17,1.193,2.55,1399.0
1996-06-24,1.179,2.52,1426.5
1996-07-01,1.172,2.501,1453.0
1996-07-08,1.173,2.503,1450.0
1996-07-15,1.178,2.513,1435.5
1996-07-22,1.184,2.526,1417.0
1996-07-29,1.178,2.513,1435.5
1996-08-05,1.184,2.521,1423.0
1996-08-12,1.191,2.536,1408.0
1996-08-19,1.206,2.568,1391.0
1996-08-26,1.222,2.602,1368.5
1996-09-02,1.231,2.613,1362.0
1996-09-09,1.25,2.654,1340.0
1996-09-16,1.276,2.709,1310.5
1996-09-23,1.277,2.711,1309.0
1996-09-30,1.289,2.736,1286.0
1996-10-07,1.308,2.768,1267.0
1996-10-14,1.326,2.806,1240.0
1996-10-21,1.329,2.812,1235.5
1996-10-28,1.329,2.812,1235.5
1996-11-04,1.323,2.794,1255.5
1996-11-11,1.316,2.78,1263.0
1996-11-18,1.324,2.796,1251.5
1996-11-25,1.327,2.803,1244.5
1996-12-02,1.323,2.794,1255.5
1996-12-09,1.32,2.788,1258.0
1996-12-16,1.307,2.761,1274.5
1996-12-23,1.3,2.746,1282.0
1996-12-30,1.295,2.735,1287.0
1997-01-06,1.291,2.718,1305.5
1997-01-13,1.296,2.729,1295.0
1997-01-20,1.293,2.722,1301.0
1997-01-27,1.283,2.701,1316.5
1997-02-03,1.288,2.703,1315.0
1997-02-10,1.285,2.697,1321.0
1997-02-17,1.278,2.682,1329.5
1997-02-24,1.269,2.663,1336.0
1997-03-03,1.252,2.621,1353.5
1997-03-10,1.23,2.575,1389.0
1997-03-17,1.22,2.554,1396.5
1997-03-24,1.22,2.554,1396.5
1997-03-31,1.225,2.565,1393.0
1997-04-07,1.217,2.545,1400.0
1997-04-14,1.216,2.543,1402.0
1997-04-21,1.211,2.532,1412.0
1997-04-28,1.205,2.52,1426.5
1997-05-05,1.205,2.521,1423.0
1997-05-12,1.191,2.492,1462.0
1997-05-19,1.191,2.492,1462.0
1997-05-26,1.196,2.502,1452.0
1997-06-02,1.19,2.487,1467.5
1997-06-09,1.187,2.48,1474.0
1997-06-16,1.172,2.449,1509.0
1997-06-23,1.162,2.428,1543.0
1997-06-30,1.153,2.409,1570.5
1997-07-07,1.159,2.419,1553.5
1997-07-14,1.152,2.404,1577.0
1997-07-21,1.147,2.394,1587.5
1997-07-28,1.145,2.39,1589.5
1997-08-04,1.155,2.406,1576.0
1997-08-11,1.168,2.433,1535.0
1997-08-18,1.167,2.431,1536.5
1997-08-25,1.169,2.435,1531.0
1997-09-01,1.165,2.421,1550.5
1997-09-08,1.163,2.417,1557.0
1997-09-15,1.156,2.402,1578.0
1997-09-22,1.154,2.398,1583.0
1997-09-29,1.16,2.411,1568.5
1997-10-06,1.175,2.436,1530.0
1997-10-13,1.185,2.456,1498.0
1997-10-20,1.185,2.456,1498.0
1997-10-27,1.185,2.456,1498.0
1997-11-03,1.188,2.464,1490.0
1997-11-10,1.19,2.468,1485.0
1997-11-17,1.195,2.479,1475.0
1997-11-24,1.193,2.474,1479.5
1997-12-01,1.189,2.469,1483.0
1997-12-08,1.174,2.438,1525.0
1997-12-15,1.162,2.413,1564.0
1997-12-22,1.155,2.399,1582.0
1997-12-29,1.15,2.388,1591.0
1998-01-05,1.147,2.378,1593.5
1998-01-12,1.126,2.334,1599.0
1998-01-19,1.109,2.299,1602.0
1998-01-26,1.096,2.272,1607.0
1998-02-02,1.091,2.257,1609.0
1998-02-09,1.085,2.245,1610.0
1998-02-16,1.082,2.239,1611.5
1998-02-23,1.079,2.233,1613.0
1998-03-02,1.074,2.218,1615.0
1998-03-09,1.066,2.202,1623.0
1998-03-16,1.057,2.183,1633.5
1998-03-23,1.049,2.166,1646.0
1998-03-30,1.068,2.206,1621.0
1998-04-06,1.067,2.2,1624.5
1998-04-13,1.065,2.195,1627.5
1998-04-20,1.065,2.195,1627.5
1998-04-27,1.07,2.206,1621.0
1998-05-04,1.072,2.206,1621.0
1998-05-11,1.075,2.212,1618.0
1998-05-18,1.069,2.2,1624.5
1998-05-25,1.06,2.181,1635.5
1998-06-01,1.053,2.164,1647.5
1998-06-08,1.045,2.148,1653.0
1998-06-15,1.04,2.137,1655.0
1998-06-22,1.033,2.123,1663.0
1998-06-29,1.034,2.125,1661.0
1998-07-06,1.036,2.126,1659.0
1998-07-13,1.031,2.116,1665.0
1998-07-20,1.027,2.108,1670.0
1998-07-27,1.02,2.094,1672.0
1998-08-03,1.016,2.083,1674.0
1998-08-10,1.01,2.071,1675.0
1998-08-17,1.007,2.064,1679.0
1998-08-24,1.004,2.058,1680.0
1998-08-31,1.0,2.05,1682.0
1998-09-07,1.009,2.066,1678.0
1998-09-14,1.019,2.086,1673.0
1998-09-21,1.03,2.109,1669.0
1998-09-28,1.039,2.127,1657.0
1998-10-05,1.041,2.126,1659.0
1998-10-12,1.041,2.126,1659.0
1998-10-19,1.036,2.116,1665.0
1998-10-26,1.036,2.116,1665.0
1998-11-02,1.035,2.114,1667.0
1998-11-09,1.034,2.112,1668.0
1998-11-16,1.026,2.096,1671.0
1998-11-23,1.012,2.067,1676.5
1998-11-30,1.004,2.051,1681.0
1998-12-07,0.986,2.015,1684.0
1998-12-14,0.972,1.987,1685.0
1998-12-21,0.968,1.978,1686.5
1998-12-28,0.966,1.974,1688.0
1999-01-04,0.965,1.967,1690.0
1999-01-11,0.967,1.972,1689.0
1999-01-18,0.97,1.978,1686.5
1999-01-25,0.964,1.965,1691.0
1999-02-01,0.962,1.959,1692.5
1999-02-08,0.962,1.959,1692.5
1999-02-15,0.959,1.953,1695.0
1999-02-22,0.953,1.941,1696.5
1999-03-01,0.956,1.941,1696.5
1999-03-08,0.964,1.957,1694.0
1999-03-15,1.0,2.03,1683.0
1999-03-22,1.018,2.067,1676.5
1999-03-29,1.046,2.124,1662.0
1999-04-05,1.075,2.167,1644.0
1999-04-12,1.084,2.185,1632.0
1999-04-19,1.08,2.177,1638.0
1999-04-26,1.078,2.173,1640.5
1999-05-03,1.078,2.173,1640.5
1999-05-10,1.083,2.183,1633.5
1999-05-17,1.075,2.167,1644.0
1999-05-24,1.066,2.149,1652.0
1999-05-31,1.065,2.147,1654.0
1999-06-07,1.059,2.134,1656.0
1999-06-14,1.068,2.153,1651.0
1999-06-21,1.082,2.181,1635.5
1999-06-28,1.087,2.191,1630.0
1999-07-05,1.102,2.214,1617.0
1999-07-12,1.114,2.239,1611.5
1999-07-19,1.133,2.277,1606.0
1999-07-26,1.137,2.285,1604.0
1999-08-02,1.146,2.297,1603.0
1999-08-09,1.156,2.317,1600.0
1999-08-16,1.178,2.361,1597.0
1999-08-23,1.186,2.378,1593.5
1999-08-30,1.194,2.394,1587.5
1999-09-06,1.198,2.39,1589.5
1999-09-13,1.209,2.412,1566.5
1999-09-20,1.226,2.446,1512.5
1999-09-27,1.226,2.446,1512.5
1999-10-04,1.234,2.458,1495.0
1999-10-11,1.228,2.446,1512.5
1999-10-18,1.224,2.438,1525.0
1999-10-25,1.226,2.442,1517.0
1999-11-01,1.229,2.446,1512.5
1999-11-08,1.234,2.456,1498.0
1999-11-15,1.261,2.51,1440.0
1999-11-22,1.289,2.566,1392.0
1999-11-29,1.304,2.595,1376.0
1999-12-06,1.294,2.576,1388.0
1999-12-13,1.288,2.564,1394.0
1999-12-20,1.287,2.562,1395.0
1999-12-27,1.298,2.584,1385.0
2000-01-03,1.309,2.598,1371.0
2000-01-10,1.307,2.594,1379.0
2000-01-17,1.307,2.594,1379.0
2000-01-24,1.418,2.814,1234.0
2000-01-31,1.439,2.856,1218.0
2000-02-07,1.47,2.9,1203.0
2000-02-14,1.456,2.872,1213.5
2000-02-21,1.456,2.872,1213.5
2000-02-28,1.461,2.882,1210.5
2000-03-06,1.49,2.915,1198.0
2000-03-13,1.496,2.927,1195.0
2000-03-20,1.479,2.894,1205.5
2000-03-27,1.451,2.839,1224.0
2000-04-03,1.442,2.82,1230.0
2000-04-10,1.419,2.775,1264.0
2000-04-17,1.398,2.734,1288.5
2000-04-24,1.428,2.792,1257.0
2000-05-01,1.418,2.77,1266.0
2000-05-08,1.402,2.738,1285.0
2000-05-15,1.415,2.764,1272.5
2000-05-22,1.432,2.797,1248.5
2000-05-29,1.431,2.795,1253.5
2000-06-05,1.419,2.757,1277.0
2000-06-12,1.411,2.742,1283.0
2000-06-19,1.423,2.765,1270.5
2000-06-26,1.432,2.782,1261.5
2000-07-03,1.453,2.817,1232.0
2000-07-10,1.449,2.809,1239.0
2000-07-17,1.435,2.782,1261.5
2000-07-24,1.424,2.76,1276.0
2000-07-31,1.408,2.729,1295.0
2000-08-07,1.41,2.733,1290.0
2000-08-14,1.447,2.805,1242.0
2000-08-21,1.471,2.852,1219.0
2000-08-28,1.536,2.978,1186.0
2000-09-04,1.609,3.103,1150.0
2000-09-11,1.629,3.142,1125.5
2000-09-18,1.653,3.188,1107.5
2000-09-25,1.657,3.196,1106.0
2000-10-02,1.625,3.128,1134.0
2000-10-09,1.614,3.107,1149.0
2000-10-16,1.67,3.215,1102.0
2000-10-23,1.648,3.173,1112.0
2000-10-30,1.629,3.136,1128.0
2000-11-06,1.61,3.098,1153.0
2000-11-13,1.603,3.084,1158.0
2000-11-20,1.627,3.13,1131.0
2000-11-27,1.645,3.165,1116.0
2000-12-04,1.622,3.123,1141.0
2000-12-11,1.577,3.036,1174.0
2000-12-18,1.545,2.974,1187.0
2000-12-25,1.515,2.917,1197.0
2001-01-01,1.522,2.912,1200.0
2001-01-08,1.52,2.908,1202.0
2001-01-15,1.509,2.887,1209.0
2001-01-22,1.528,2.923,1196.0
2001-01-29,1.539,2.944,1190.0
2001-02-05,1.52,2.896,1204.0
2001-02-12,1.518,2.892,1207.0
2001-02-19,1.48,2.82,1230.0
2001-02-26,1.451,2.765,1270.5
2001-03-05,1.42,2.7,1318.0
2001-03-12,1.406,2.673,1333.0
2001-03-19,1.392,2.646,1342.0
2001-03-26,1.379,2.622,1351.5
2001-04-02,1.391,2.634,1347.5
2001-04-09,1.397,2.645,1343.0
2001-04-16,1.437,2.721,1302.0
2001-04-23,1.443,2.732,1291.0
2001-04-30,1.442,2.731,1292.0
2001-05-07,1.47,2.771,1265.0
2001-05-14,1.491,2.811,1237.0
2001-05-21,1.494,2.816,1233.0
2001-05-28,1.529,2.882,1210.5
2001-06-04,1.514,2.849,1221.0
2001-06-11,1.486,2.797,1248.5
2001-06-18,1.48,2.785,1260.0
2001-06-25,1.447,2.723,1300.0
2001-07-02,1.407,2.655,1339.0
2001-07-09,1.392,2.627,1350.0
2001-07-16,1.38,2.604,1366.0
2001-07-23,1.348,2.544,1401.0
2001-07-30,1.347,2.542,1403.0
2001-08-06,1.345,2.538,1407.0
2001-08-13,1.367,2.58,1387.0
2001-08-20,1.394,2.631,1349.0
2001-08-27,1.452,2.74,1284.0
2001-09-03,1.488,2.796,1251.5
2001-09-10,1.492,2.803,1244.5
2001-09-17,1.527,2.869,1216.0
2001-09-24,1.473,2.767,1268.5
2001-10-01,1.39,2.62,1355.0
2001-10-08,1.371,2.584,1385.0
2001-10-15,1.353,2.551,1398.0
2001-10-22,1.318,2.485,1470.5
2001-10-29,1.31,2.469,1483.0
2001-11-05,1.291,2.438,1525.0
2001-11-12,1.269,2.396,1585.0
2001-11-19,1.252,2.364,1596.0
2001-11-26,1.223,2.309,1601.0
2001-12-03,1.194,2.264,1608.0
2001-12-10,1.173,2.224,1614.0
2001-12-17,1.143,2.167,1644.0
2001-12-24,1.154,2.188,1631.0
2001-12-31,1.169,2.216,1616.0
2002-01-07,1.168,2.209,1619.0
2002-01-14,1.159,2.192,1629.0
2002-01-21,1.14,2.156,1649.0
2002-01-28,1.144,2.164,1647.5
2002-02-04,1.144,2.155,1650.0
2002-02-11,1.153,2.172,1642.0
2002-02-18,1.156,2.178,1637.0
2002-02-25,1.154,2.174,1639.0
2002-03-04,1.173,2.198,1626.0
2002-03-11,1.216,2.278,1605.0
2002-03-18,1.251,2.344,1598.0
2002-03-25,1.281,2.4,1581.0
2002-04-01,1.295,2.413,1564.0
2002-04-08,1.323,2.465,1488.0
2002-04-15,1.32,2.459,1493.5
2002-04-22,1.304,2.429,1540.0
2002-04-29,1.302,2.426,1545.0
2002-05-06,1.305,2.431,1536.5
2002-05-13,1.299,2.42,1552.0
2002-05-20,1.309,2.439,1520.5
2002-05-27,1.308,2.437,1529.0
2002-06-03,1.3,2.421,1550.5
2002-06-10,1.286,2.395,1586.0
2002-06-17,1.275,2.374,1595.0
2002-06-24,1.281,2.385,1592.0
2002-07-01,1.289,2.397,1584.0
2002-07-08,1.294,2.407,1574.0
2002-07-15,1.3,2.418,1555.0
2002-07-22,1.311,2.438,1525.0
2002-07-29,1.303,2.424,1546.0
2002-08-05,1.304,2.417,1557.0
2002-08-12,1.303,2.415,1560.0
2002-08-19,1.333,2.471,1481.0
2002-08-26,1.37,2.54,1404.5
2002-09-02,1.388,2.569,1390.0
2002-09-09,1.396,2.584,1385.0
2002-09-16,1.414,2.617,1359.0
2002-09-23,1.417,2.622,1351.5
2002-09-30,1.438,2.661,1337.5
2002-10-07,1.46,2.698,1320.0
2002-10-14,1.461,2.699,1319.0
2002-10-21,1.469,2.714,1308.0
2002-10-28,1.456,2.69,1324.0
2002-11-04,1.442,2.664,1335.0
2002-11-11,1.427,2.637,1344.5
2002-11-18,1.405,2.596,1373.5
2002-11-25,1.405,2.596,1373.5
2002-12-02,1.407,2.605,1365.0
2002-12-09,1.405,2.602,1368.5
2002-12-16,1.401,2.594,1379.0
2002-12-23,1.44,2.667,1334.0
2002-12-30,1.491,2.761,1274.5
2003-01-06,1.501,2.767,1268.5
2003-01-13,1.478,2.725,1298.5
2003-01-20,1.48,2.729,1295.0
2003-01-27,1.492,2.751,1279.0
2003-02-03,1.542,2.821,1227.5
2003-02-10,1.662,3.041,1173.0
2003-02-17,1.704,3.117,1146.0
2003-02-24,1.709,3.127,1136.5
2003-03-03,1.753,3.188,1107.5
2003-03-10,1.771,3.221,1099.5
2003-03-17,1.752,3.186,1109.0
2003-03-24,1.662,3.022,1177.0
2003-03-31,1.602,2.913,1199.0
2003-04-07,1.554,2.832,1226.0
2003-04-14,1.539,2.805,1242.0
2003-04-21,1.529,2.787,1259.0
2003-04-28,1.508,2.748,1281.0
2003-05-05,1.484,2.709,1310.5
2003-05-12,1.444,2.636,1346.0
2003-05-19,1.443,2.634,1347.5
2003-05-26,1.434,2.618,1358.0
2003-06-02,1.423,2.595,1376.0
2003-06-09,1.422,2.593,1381.0
2003-06-16,1.432,2.611,1364.0
2003-06-23,1.423,2.595,1376.0
2003-06-30,1.42,2.589,1382.0
2003-07-07,1.428,2.601,1370.0
2003-07-14,1.435,2.614,1361.0
2003-07-21,1.439,2.621,1353.5
2003-07-28,1.438,2.619,1356.5
2003-08-04,1.453,2.637,1344.5
2003-08-11,1.492,2.707,1313.0
2003-08-18,1.498,2.718,1305.5
2003-08-25,1.503,2.727,1297.0
2003-09-01,1.501,2.715,1307.0
2003-09-08,1.488,2.691,1323.0
2003-09-15,1.471,2.661,1337.5
2003-09-22,1.444,2.612,1363.0
2003-09-29,1.429,2.585,1383.0
2003-10-06,1.445,2.616,1360.0
2003-10-13,1.483,2.685,1327.0
2003-10-20,1.502,2.72,1303.0
2003-10-27,1.495,2.707,1313.0
2003-11-03,1.481,2.689,1325.5
2003-11-10,1.476,2.68,1331.0
2003-11-17,1.481,2.689,1325.5
2003-11-24,1.491,2.707,1313.0
2003-12-01,1.476,2.683,1328.0
2003-12-08,1.481,2.692,1322.0
2003-12-15,1.486,2.701,1316.5
2003-12-22,1.504,2.734,1288.5
2003-12-29,1.502,2.73,1293.0
2004-01-05,1.503,2.719,1304.0
2004-01-12,1.551,2.805,1242.0
2004-01-19,1.559,2.82,1230.0
2004-01-26,1.591,2.878,1212.0
2004-02-02,1.581,2.844,1222.0
2004-02-09,1.568,2.821,1227.5
2004-02-16,1.584,2.85,1220.0
2004-02-23,1.595,2.869,1216.0
2004-03-01,1.619,2.894,1205.5
2004-03-08,1.628,2.91,1201.0
2004-03-15,1.617,2.89,1208.0
2004-03-22,1.641,2.933,1193.0
2004-03-29,1.642,2.935,1192.0
2004-04-05,1.648,2.936,1191.0
2004-04-12,1.679,2.992,1181.0
2004-04-19,1.724,3.072,1164.5
2004-04-26,1.718,3.061,1170.0
2004-05-03,1.717,3.042,1172.0
2004-05-10,1.745,3.091,1156.0
2004-05-17,1.763,3.123,1141.0
2004-05-24,1.761,3.12,1144.0
2004-05-31,1.746,3.093,1155.0
2004-06-07,1.734,3.062,1169.0
2004-06-14,1.711,3.021,1178.0
2004-06-21,1.7,3.002,1179.5
2004-06-28,1.7,3.002,1179.5
2004-07-05,1.716,3.035,1175.0
2004-07-12,1.74,3.077,1162.5
2004-07-19,1.744,3.085,1157.0
2004-07-26,1.754,3.102,1151.0
2004-08-02,1.78,3.147,1122.0
2004-08-09,1.814,3.207,1104.0
2004-08-16,1.825,3.226,1097.0
2004-08-23,1.874,3.313,1079.0
2004-08-30,1.871,3.307,1083.0
2004-09-06,1.869,3.297,1086.0
2004-09-13,1.874,3.306,1084.0
2004-09-20,1.912,3.373,1059.5
2004-09-27,2.012,3.549,978.0
2004-10-04,2.053,3.602,961.0
2004-10-11,2.092,3.671,942.5
2004-10-18,2.18,3.825,877.0
2004-10-25,2.212,3.881,852.5
2004-11-01,2.206,3.869,860.0
2004-11-08,2.163,3.794,887.0
2004-11-15,2.132,3.739,916.0
2004-11-22,2.116,3.711,929.0
2004-11-29,2.116,3.711,929.0
2004-12-06,2.069,3.642,953.0
2004-12-13,1.997,3.515,1001.0
2004-12-20,1.984,3.492,1017.0
2004-12-27,1.987,3.498,1014.5
2005-01-03,1.957,3.438,1039.5
2005-01-10,1.934,3.397,1051.0
2005-01-17,1.952,3.429,1044.0
2005-01-24,1.959,3.441,1037.5
2005-01-31,1.992,3.499,1013.0
2005-02-07,1.983,3.463,1029.0
2005-02-14,1.986,3.469,1027.0
2005-02-21,2.02,3.528,993.0
2005-02-28,2.118,3.699,936.0
2005-03-07,2.168,3.757,907.5
2005-03-14,2.194,3.802,883.0
2005-03-21,2.244,3.889,843.5
2005-03-28,2.249,3.897,840.0
2005-04-04,2.303,3.964,793.5
2005-04-11,2.316,3.987,771.0
2005-04-18,2.259,3.889,843.5
2005-04-25,2.289,3.94,816.0
2005-05-02,2.262,3.898,838.0
2005-05-09,2.227,3.837,873.0
2005-05-16,2.189,3.772,898.0
2005-05-23,2.156,3.715,927.0
2005-05-30,2.16,3.722,923.0
2005-06-06,2.234,3.848,869.5
2005-06-13,2.276,3.92,825.5
2005-06-20,2.313,3.984,772.5
2005-06-27,2.336,4.023,735.0
2005-07-04,2.348,4.025,733.5
2005-07-11,2.408,4.128,656.0
2005-07-18,2.392,4.101,677.0
2005-07-25,2.342,4.015,742.5
2005-08-01,2.348,4.005,751.0
2005-08-08,2.407,4.105,671.5
2005-08-15,2.567,4.378,517.5
2005-08-22,2.588,4.414,506.5
2005-08-29,2.59,4.418,505.0
2005-09-05,2.898,4.883,358.0
2005-09-12,2.847,4.797,382.0
2005-09-19,2.732,4.603,431.5
2005-09-26,2.798,4.715,406.0
2005-10-03,3.144,5.287,297.0
2005-10-10,3.15,5.297,295.0
2005-10-17,3.148,5.294,296.0
2005-10-24,3.157,5.309,293.0
2005-10-31,2.876,4.836,374.0
2005-11-07,2.698,4.574,444.0
2005-11-14,2.602,4.411,509.0
2005-11-21,2.513,4.26,588.0
2005-11-28,2.479,4.203,607.0
2005-12-05,2.425,4.128,656.0
2005-12-12,2.436,4.146,646.0
2005-12-19,2.462,4.191,615.0
2005-12-26,2.448,4.167,628.5
2006-01-02,2.442,4.125,658.5
2006-01-09,2.485,4.198,612.0
2006-01-16,2.449,4.137,651.5
2006-01-23,2.472,4.176,621.0
2006-01-30,2.489,4.205,605.0
2006-02-06,2.499,4.213,601.0
2006-02-13,2.476,4.174,622.0
2006-02-20,2.455,4.139,648.5
2006-02-27,2.471,4.166,630.5
2006-03-06,2.545,4.267,582.5
2006-03-13,2.543,4.264,585.0
2006-03-20,2.581,4.327,542.5
2006-03-27,2.565,4.3,560.5
2006-04-03,2.617,4.351,529.5
2006-04-10,2.654,4.412,508.0
2006-04-17,2.765,4.597,433.0
2006-04-24,2.876,4.781,388.5
2006-05-01,2.896,4.791,385.0
2006-05-08,2.897,4.792,384.0
2006-05-15,2.92,4.83,375.0
2006-05-22,2.888,4.777,390.5
2006-05-29,2.882,4.767,395.0
2006-06-05,2.89,4.771,392.0
2006-06-12,2.918,4.818,376.0
2006-06-19,2.915,4.813,378.0
2006-06-26,2.867,4.733,401.0
2006-07-03,2.898,4.77,393.5
2006-07-10,2.918,4.803,380.0
2006-07-17,2.926,4.816,377.0
2006-07-24,2.946,4.849,368.5
2006-07-31,2.98,4.905,352.0
2006-08-07,3.055,5.019,340.0
2006-08-14,3.065,5.035,338.0
2006-08-21,3.033,4.983,343.0
2006-08-28,3.027,4.973,344.0
2006-09-04,2.967,4.898,353.0
2006-09-11,2.857,4.717,404.0
2006-09-18,2.713,4.479,488.0
2006-09-25,2.595,4.284,569.5
2006-10-02,2.546,4.226,596.0
2006-10-09,2.506,4.16,635.0
2006-10-16,2.503,4.155,638.0
2006-10-23,2.524,4.19,616.0
2006-10-30,2.517,4.178,619.0
2006-11-06,2.506,4.166,630.5
2006-11-13,2.552,4.243,593.0
2006-11-20,2.553,4.244,592.0
2006-11-27,2.567,4.267,582.5
2006-12-04,2.618,4.346,532.0
2006-12-11,2.621,4.351,529.5
2006-12-18,2.606,4.326,544.0
2006-12-25,2.596,4.309,556.0
2007-01-01,2.58,4.27,580.0
2007-01-08,2.537,4.199,610.5
2007-01-15,2.463,4.076,690.5
2007-01-22,2.43,4.021,736.0
2007-01-29,2.413,3.993,764.5
2007-02-05,2.435,4.008,747.5
2007-02-12,2.476,4.076,690.5
2007-02-19,2.491,4.1,679.0
2007-02-26,2.551,4.199,610.5
2007-03-05,2.626,4.284,569.5
2007-03-12,2.685,4.38,515.0
2007-03-19,2.681,4.373,521.0
2007-03-26,2.676,4.365,523.0
2007-04-02,2.79,4.522,462.5
2007-04-09,2.84,4.603,431.5
2007-04-16,2.877,4.663,418.0
2007-04-23,2.851,4.621,428.5
2007-04-30,2.811,4.556,447.0
